"","County","TotalClinics","TotalWomen","TotalWomenUnder20","FedHC","HealthDept","HospHC","PlannedParenthood","OtherHC","State","polyname","fips","GEO.id","TotalPop","NumRural","MedianInc","PercHSGrad","PercPoverty","PercWhite","PercBlack","PercAmInd","PercAsian","PercHawaii","PercTwoOrMore","PercHisp","PercRural","WomenPerClinic","obamaPercent","desert","Region"
"1","Autauga",2,2920,800,1,1,0,0,0,"Alabama","alabama,autauga",1001,"0500000US01001",54571,22921,51281,38.8,0.129317769511279,77.4,18.7,0.4,1,0,1.6,2.6,0.420021623206465,1460,0.383590330987525,"Yes","South"
"2","Baldwin",6,9700,2690,4,2,0,0,0,"Alabama","alabama,baldwin",1003,"0500000US01003",182265,77060,50254,33.4,0.141541162592928,86.4,9.6,0.6,0.7,0,1.7,4.5,0.422790991139275,1616.66666666667,0.383590330987525,"Yes","South"
"3","Barbour",3,1780,410,1,2,0,0,0,"Alabama","alabama,barbour",1005,"0500000US01005",27457,18613,32964,43.4,0.233856575736606,47.4,46.8,0.2,0.9,0,1.3,4.6,0.677896347015333,593.333333333333,0.383590330987525,"No","South"
"4","Bibb",5,1420,290,4,1,0,0,0,"Alabama","alabama,bibb",1007,"0500000US01007",22915,15663,38678,33.1,0.152214706524111,76.7,21.4,0.4,0.1,0,1.4,2.2,0.683526074623609,284,0.383590330987525,"No","South"
"5","Blount",2,3300,730,1,1,0,0,0,"Alabama","alabama,blount",1009,"0500000US01009",57322,51562,45813,33.3,0.166637591151739,95.1,1.5,0.6,0.1,0,1.7,8.6,0.899515020411012,1650,0.383590330987525,"Yes","South"
"6","Bullock",1,800,190,0,1,0,0,0,"Alabama","alabama,bullock",1011,"0500000US01011",10914,5607,31938,65.5,0.227780831958952,26.6,70.7,1.2,0.2,0,1.3,4.4,0.513743815283123,800,0.383590330987525,"No","South"
"7","Butler",1,1510,330,0,1,0,0,0,"Alabama","alabama,butler",1013,"0500000US01013",20947,14921,32229,30.1,0.243185181648923,54.2,44,0.1,0.4,0,1.1,1.2,0.712321573495011,1510,0.383590330987525,"Yes","South"
"8","Calhoun",3,8820,1880,2,1,0,0,0,"Alabama","alabama,calhoun",1015,"0500000US01015",118572,39955,41703,28.3,0.196715919441352,75.1,20.5,0.2,0.9,0,2.4,3.5,0.336968255574672,2940,0.383590330987525,"Yes","South"
"9","Chambers",1,2200,570,0,1,0,0,0,"Alabama","alabama,chambers",1017,"0500000US01017",34215,16816,34177,42.6,0.212567587315505,57.7,40.3,0.2,0.8,0,1,0.4,0.491480344877977,2200,0.383590330987525,"Yes","South"
"10","Cherokee",2,1400,380,1,1,0,0,0,"Alabama","alabama,cherokee",1019,"0500000US01019",25989,22282,36296,38.3,0.189233906652815,92.9,4.9,0.6,0.3,0,1.2,1.5,0.857362730385932,700,0.383590330987525,"No","South"
"11","Chilton",3,3040,550,2,1,0,0,0,"Alabama","alabama,chilton",1021,"0500000US01021",43643,37858,41627,41.9,0.189904452031254,84,10.3,0.4,0.3,0,0.9,7.6,0.867447242398552,1013.33333333333,0.383590330987525,"Yes","South"
"12","Choctaw",2,850,220,1,1,0,0,0,"Alabama","alabama,choctaw",1023,"0500000US01023",13859,13859,33536,43.1,0.223176275344541,55.9,43.3,0,0,0,0.8,0.4,1,425,0.383590330987525,"No","South"
"13","Clarke",1,1790,500,0,1,0,0,0,"Alabama","alabama,clarke",1025,"0500000US01025",25833,19628,32011,55.9,0.23640305036194,53.6,45.3,0,0.4,0.4,0.3,0.3,0.75980335230132,1790,0.383590330987525,"Yes","South"
"14","Clay",2,840,220,1,1,0,0,0,"Alabama","alabama,clay",1027,"0500000US01027",13932,13932,35327,40,0.157981625035889,81.7,14.5,0.8,0,0,1.6,3.2,1,420,0.383590330987525,"No","South"
"15","Cleburne",2,860,250,1,1,0,0,0,"Alabama","alabama,cleburne",1029,"0500000US01029",14972,14972,38056,42.1,0.16751269035533,94,2.9,0.2,0.4,0,1.9,2.3,1,430,0.383590330987525,"No","South"
"16","Coffee",2,3150,790,1,1,0,0,0,"Alabama","alabama,coffee",1031,"0500000US01031",49948,23573,46729,29.3,0.171798670617442,76.8,17.4,0.9,1.2,0,2.9,6.4,0.471950828862017,1575,0.383590330987525,"Yes","South"
"17","Colbert",2,3560,720,1,1,0,0,0,"Alabama","alabama,colbert",1033,"0500000US01033",54428,23891,40576,31.3,0.172815462629529,79.6,15.6,0.6,0.3,0.1,2.7,2.4,0.438946865583891,1780,0.383590330987525,"Yes","South"
"18","Conecuh",2,840,240,1,1,0,0,0,"Alabama","alabama,conecuh",1035,"0500000US01035",13228,10708,24900,52.2,0.326579981856668,52.2,44.7,0.3,0,0,2.8,1.6,0.809495010583611,420,0.383590330987525,"No","South"
"19","Coosa",1,710,180,0,1,0,0,0,"Alabama","alabama,coosa",1037,"0500000US01037",11539,11539,31212,28.9,0.179651616257908,67.4,30.7,0.1,0,0,1.9,2.1,1,710,0.383590330987525,"No","South"
"20","Covington",1,2040,580,0,1,0,0,0,"Alabama","alabama,covington",1039,"0500000US01039",37765,26304,36444,39.6,0.19899377730703,84.3,13,0.5,0.3,0.1,1.4,1.5,0.696517939891434,2040,0.383590330987525,"Yes","South"
"21","Crenshaw",2,830,220,1,1,0,0,0,"Alabama","alabama,crenshaw",1041,"0500000US01041",13906,13906,36022,37.1,0.164533294980584,71.5,23.5,0.8,1.8,0,1.3,1.7,1,415,0.383590330987525,"No","South"
"22","Cullman",2,5010,1250,1,1,0,0,0,"Alabama","alabama,cullman",1043,"0500000US01043",80406,58889,38971,30.6,0.184239982090889,95.7,1.2,0.4,0.6,0,1.4,4.3,0.732395592368729,2505,0.383590330987525,"Yes","South"
"23","Dale",2,3250,740,1,1,0,0,0,"Alabama","alabama,dale",1045,"0500000US01045",50251,25572,45028,37.7,0.185190344470757,74.7,19.6,0.5,1.2,0,2.8,6,0.508885395315516,1625,0.383590330987525,"Yes","South"
"24","Dallas",1,3860,920,0,1,0,0,0,"Alabama","alabama,dallas",1047,"0500000US01047",43820,19999,27306,35.9,0.332724783204016,28.7,69.2,0.2,0.3,0,1.4,0.3,0.456389776357827,3860,0.383590330987525,"Yes","South"
"25","De Kalb",5,4510,1160,4,1,0,0,0,"Alabama","alabama,dekalb",1049,"0500000US01049",71109,64091,38192,30.6,0.184688295433771,86.4,1.8,1.2,0.3,1,2.2,14,0.901306445035087,902,0.383590330987525,"No","South"
"26","Elmore",2,4500,1070,1,1,0,0,0,"Alabama","alabama,elmore",1051,"0500000US01051",79303,42973,53555,34.3,0.13031032873914,75.5,21.2,0.3,0.5,0,1.8,2.8,0.541883661399947,2250,0.383590330987525,"Yes","South"
"27","Escambia",5,2330,620,2,2,0,0,1,"Alabama","alabama,escambia",1053,"0500000US01053",38319,24337,32330,36.2,0.224666614473238,61.4,33.4,3.2,0.1,0,1.5,1.2,0.635115738928469,466,0.383590330987525,"No","South"
"28","Etowah",9,6690,1370,8,1,0,0,0,"Alabama","alabama,etowah",1055,"0500000US01055",104430,39144,39220,32.2,0.192262759743369,81.3,15.4,0.3,0.7,0.1,1.5,3.6,0.374834817581155,743.333333333333,0.383590330987525,"No","South"
"29","Fayette",1,1070,280,0,1,0,0,0,"Alabama","alabama,fayette",1057,"0500000US01057",17241,13833,34680,31.8,0.177193898265762,85.5,12.4,0,0.4,0,1.7,0.7,0.802331651296329,1070,0.383590330987525,"Yes","South"
"30","Franklin",1,2100,520,0,1,0,0,0,"Alabama","alabama,franklin",1059,"0500000US01059",31704,22309,35372,33.7,0.221423164269493,88.3,4.9,1.2,0.1,0.1,1.2,15.7,0.703665152662125,2100,0.383590330987525,"Yes","South"
"31","Geneva",3,1500,320,2,1,0,0,0,"Alabama","alabama,geneva",1061,"0500000US01061",26790,24015,36024,39.1,0.229525942515864,86.5,8.9,0.3,1.2,0,1.9,3.6,0.896416573348264,500,0.383590330987525,"No","South"
"32","Greene",2,760,150,1,1,0,0,0,"Alabama","alabama,greene",1063,"0500000US01063",9045,9045,20541,29.9,0.384632393587617,17.8,80.7,0.1,0.2,0,1.3,0.7,1,380,0.383590330987525,"No","South"
"33","Hale",2,1280,260,1,1,0,0,0,"Alabama","alabama,hale",1065,"0500000US01065",15760,14053,32714,45.2,0.254505076142132,40,58.2,0.3,0.3,0.1,0.3,1.1,0.891687817258883,640,0.383590330987525,"No","South"
"34","Henry",3,1070,220,1,2,0,0,0,"Alabama","alabama,henry",1067,"0500000US01067",17302,15183,41997,43.8,0.153566061726968,70.4,28.4,0,0,0,0.9,2.5,0.877528609409317,356.666666666667,0.383590330987525,"No","South"
"35","Houston",2,6970,1310,1,1,0,0,0,"Alabama","alabama,houston",1069,"0500000US01069",101547,34327,41571,36.1,0.184604173436931,69.7,26.4,0.4,0.8,0,1.9,3.2,0.33804051325987,3485,0.383590330987525,"Yes","South"
"36","Jackson",7,3010,800,6,1,0,0,0,"Alabama","alabama,jackson",1071,"0500000US01071",53227,40994,37745,33,0.176883912300148,91,3.1,1.1,0.4,0.1,3,2.7,0.770173032483514,430,0.383590330987525,"No","South"
"37","Jefferson",10,45830,9490,4,5,0,1,0,"Alabama","alabama,jefferson",1073,"0500000US01073",658466,64752,45610,29,0.183804478894886,52.8,42.3,0.2,1.6,0,1.1,3.8,0.0983376514504925,4583,0.383590330987525,"Yes","South"
"38","Lamar",2,860,210,1,1,0,0,0,"Alabama","alabama,lamar",1075,"0500000US01075",14564,14564,35450,32,0.232216424059324,87.4,11.1,0.3,0,0,0.6,1.4,1,430,0.383590330987525,"No","South"
"39","Lauderdale",3,6290,1380,2,1,0,0,0,"Alabama","alabama,lauderdale",1077,"0500000US01077",92709,45701,43125,24.5,0.175085482531362,86.9,10,0.4,0.7,0,1.7,2.4,0.492951061924948,2096.66666666667,0.383590330987525,"Yes","South"
"40","Lawrence",2,2020,470,1,1,0,0,0,"Alabama","alabama,lawrence",1079,"0500000US01079",34339,31348,40003,37.9,0.181280759486298,77.3,11.5,5.4,0.1,0,5.6,2.1,0.912897871225138,1010,0.383590330987525,"Yes","South"
